anon_id,anon_ip,collection_order,input_target,source,discovery_confidence,discovery_sources,passive_http_title,passive_http_status,shodan_module,shodan_product,shodan_query_id,product_confidence,family_match_count,top_family,matched_version_count,top_version,exact_version_count,vulnerability_count,status_distribution_signature
gw-0234,192.0.2.234,235,192.0.2.234:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0235,192.0.2.235,236,192.0.2.235:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0236,192.0.2.236,237,192.0.2.236:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0237,192.0.2.237,238,192.0.2.237:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0238,192.0.2.238,239,192.0.2.238:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0239,192.0.2.239,240,192.0.2.239:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0240,192.0.2.240,241,192.0.2.240:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0241,192.0.2.241,242,192.0.2.241:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0242,192.0.2.242,243,192.0.2.242:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0243,192.0.2.243,244,192.0.2.243:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0244,192.0.2.244,245,192.0.2.244:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0245,192.0.2.245,246,192.0.2.245:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0246,192.0.2.246,247,192.0.2.246:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0247,192.0.2.247,248,192.0.2.247:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0248,192.0.2.248,249,192.0.2.248:3580,shodan,0.82,favicon_hash:1924358485;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,auto,,,1.0,0,,2,2024.6.1,0,0,200:1
gw-0249,192.0.2.249,250,192.0.2.249:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0250,192.0.2.250,251,192.0.2.250:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0251,192.0.2.251,252,192.0.2.251:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0252,192.0.2.252,253,192.0.2.252:18789,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control,OpenClaw Control,200,http-simple-new,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
gw-0253,192.0.2.253,254,192.0.2.253:443,shodan,0.82,favicon_hash:-1408625955;http_body_marker:openclaw;http_title:OpenClaw Control;passive_tls_jarm,OpenClaw Control,200,https,OpenClaw,,0.8500000000000001,0,,0,,0,0,200:1
